City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Coihaique,CL,-45.5752,-72.0662,46.4,81,75,3.44,broken clouds
262,Redlands,US,34.0556,-117.1825,60.8,51,40,12.66,scattered clouds
263,Zabol,AF,32.25,67.25,53.85,63,65,0.89,broken clouds
264,Rio Gallegos,AR,-51.6226,-69.2181,41.0,60,0,6.91,clear sky
265,Matagami,CA,49.7502,-77.6328,44.6,93,90,10.36,overcast clouds
266,Grafton,US,42.207,-71.6856,48.2,71,90,8.05,overcast clouds
267,Araguari,BR,-18.6472,-48.1872,73.4,56,0,2.3,clear sky
268,Castanos,MX,26.7833,-101.4167,82.4,44,0,4.63,clear sky
269,Lompoc,US,34.6391,-120.4579,55.4,62,67,11.5,broken clouds
270,Norsup,VU,-16.0667,167.3833,85.6,67,12,9.35,few clouds
271,Biak,ID,-0.9131,122.8766,82.36,68,92,2.91,overcast clouds
272,Mehran,IR,33.1222,46.1646,41.0,45,0,4.61,clear sky
273,Sheffield,GB,53.383,-1.4659,32.0,86,12,2.42,few clouds
274,Samana,DO,19.2056,-69.3369,72.81,69,10,9.01,clear sky
275,Ukiah,US,39.1502,-123.2078,66.2,22,1,4.61,clear sky
276,Moussoro,TD,13.6408,16.4901,79.07,7,2,11.77,clear sky
277,Andapa,MG,-14.65,49.65,65.73,98,32,2.86,scattered clouds
278,Pavilosta,LV,56.8879,21.1859,35.6,75,90,9.22,overcast clouds
279,Zhangye,CN,38.9342,100.4517,42.39,22,3,3.69,clear sky
280,Redmond,US,47.674,-122.1215,64.4,25,1,4.61,clear sky
281,Aklera,IN,24.4167,76.5667,85.17,25,100,2.04,overcast clouds
282,Wanlaweyn,SO,2.6185,44.8938,79.59,74,93,6.11,overcast clouds
283,Sorong,ID,-0.8833,131.25,85.84,61,78,12.8,broken clouds
284,Thompson,CA,55.7435,-97.8558,30.2,34,20,2.3,few clouds
285,Parambu,BR,-6.2111,-40.6944,69.73,90,36,3.04,scattered clouds
286,Vestmanna,FO,62.1564,-7.1664,44.6,100,20,13.8,few clouds
287,Hopkinsville,US,36.8656,-87.4886,53.6,71,75,3.94,broken clouds
288,Portland,US,45.5234,-122.6762,69.8,21,20,6.91,few clouds
289,Kidal,ML,18.4411,1.4078,87.75,8,0,12.01,clear sky
290,Klaksvik,FO,62.2266,-6.589,44.6,100,20,13.8,few clouds
291,Nouadhibou,MR,20.931,-17.0347,66.2,94,75,18.41,broken clouds
292,Souillac,MU,-20.5167,57.5167,77.0,88,75,2.3,light rain
293,Kefalos,GR,36.7453,26.9589,55.4,82,40,13.8,scattered clouds
294,Margate,GB,51.3813,1.3862,41.0,71,15,3.0,few clouds
295,Mlonggo,ID,-6.5333,110.7,82.4,78,40,4.61,haze
296,Letychiv,UA,49.3826,27.6305,41.79,96,74,8.72,broken clouds
297,Mason City,US,43.1536,-93.201,41.0,70,90,12.66,overcast clouds
298,Umm Lajj,SA,25.0213,37.2685,72.81,53,0,8.7,clear sky
299,Boende,CD,-0.2167,20.8667,70.21,98,81,3.29,broken clouds
300,Meulaboh,ID,4.1363,96.1285,81.18,77,81,2.93,broken clouds
301,Moose Factory,CA,51.2585,-80.6094,32.0,100,90,11.5,overcast clouds
302,Cootamundra,AU,-34.65,148.0333,66.0,48,10,5.01,clear sky
303,Namibe,AO,-15.1961,12.1522,79.99,78,33,3.18,scattered clouds
304,Mortka,RU,59.3322,66.0214,46.62,81,10,9.93,clear sky
305,Esperance,AU,-33.8667,121.9,66.2,72,75,11.5,broken clouds
306,Kolvereid,NO,64.8655,11.6047,36.45,91,100,11.92,light rain
307,Muroto,JP,33.2833,134.15,60.8,44,0,9.22,clear sky
308,Sinnamary,GF,5.3833,-52.95,78.39,90,97,8.59,overcast clouds
309,Candido Mendes,BR,-1.4467,-45.7167,75.99,95,95,3.71,overcast clouds
310,Santa Rosa,PH,14.3122,121.1114,89.01,66,75,4.61,broken clouds
311,San Patricio,US,28.017,-97.5169,80.6,83,1,9.22,clear sky
312,Tornio,FI,65.8481,24.1466,26.6,74,0,6.91,clear sky
313,Inongo,CD,-1.95,18.2667,72.27,91,56,2.95,broken clouds
314,Salinopolis,BR,-0.6136,-47.3561,78.91,87,90,9.6,overcast clouds
315,Riyadh,SA,24.6877,46.7219,73.4,31,20,11.5,few clouds
316,Rudnya,RU,54.947,31.0934,44.28,94,100,12.59,light rain
317,Itamaraca,BR,-7.7478,-34.8256,78.8,83,75,5.75,light rain
318,Siguiri,GN,11.6667,-9.5,83.77,49,100,9.31,overcast clouds
319,Panjab,AF,34.388,67.0233,40.62,89,100,3.85,light rain
320,Kota Kinabalu,MY,5.9749,116.0724,84.2,79,20,4.61,few clouds
321,Ossora,RU,59.2353,163.0719,30.9,97,100,10.11,snow
322,Itacare,BR,-14.2775,-38.9967,75.2,94,90,8.05,overcast clouds
323,Ratnagiri,IN,16.9833,73.3,81.64,65,0,2.48,clear sky
